epoch,step,train_loss,val_hit,val_loss
0,12,,0.4656488597393036,5.453660011291504
1,25,,0.44020354747772217,5.467282772064209
2,38,,0.46183204650878906,5.456657409667969
3,49,3.799914836883545,,
3,51,,0.4541984796524048,5.45941686630249
4,64,,0.44020354747772217,5.471795082092285
5,77,,0.4770992398262024,5.455740451812744
6,90,,0.4796437621116638,5.452681541442871
7,99,5.688863754272461,,
7,103,,0.46183204650878906,5.468628883361816
8,116,,0.4796437621116638,5.438414573669434
9,129,,0.49491095542907715,5.4337334632873535
10,142,,0.4783715009689331,5.450281620025635
11,149,4.215040683746338,,
11,155,,0.4872773587703705,5.480579376220703
12,168,,0.4898218810558319,5.451650619506836
13,181,,0.48218828439712524,5.454633712768555
14,194,,0.47201016545295715,5.526333808898926
15,199,6.203209400177002,,
15,207,,0.4656488597393036,5.525106906890869
16,220,,0.48600509762763977,5.555383205413818
17,233,,0.4694656431674957,5.495306015014648
18,246,,0.46310433745384216,5.585937976837158
19,249,5.180629253387451,,
19,259,,0.4541984796524048,5.642442226409912
20,272,,0.4465648829936981,5.798408031463623
21,285,,0.4656488597393036,5.547506332397461
22,298,,0.47073790431022644,5.700825214385986
23,299,5.291330337524414,,
23,311,,0.4338422417640686,5.798851013183594
24,324,,0.44147583842277527,5.68088960647583
25,337,,0.42875316739082336,5.827815532684326
26,349,4.710740089416504,,
26,350,,0.42748090624809265,5.803905963897705
27,363,,0.4452926218509674,5.933595180511475
28,376,,0.4541984796524048,5.936656475067139
29,389,,0.4249363839626312,6.31362247467041
